time_ms,level
8621,0
8671,0
8721,0
8771,0
8821,0
8871,0
8921,0
8971,0
9021,0
9071,0
9121,0
9171,0
9221,0
9271,0
9321,0
9371,0
9421,0
9471,0
9521,0
9571,0
9621,0
9671,0
9721,0
9771,0
9821,0
9871,0
9921,0
9971,0
10021,0
10071,0
10121,0
10171,0
10221,0
10271,0
10321,0
10371,0
10421,0
10471,0
10521,0
10571,0
10621,0
10671,0
10721,0
10771,0
10821,0
10871,0
10921,0
10971,0
11021,0
11071,0
11121,0
11171,0
11221,0
11271,0
11321,0
11371,0
11421,0
11471,0
11521,0
11571,0
11621,0
11671,0
11721,0
11771,0
11821,0
11871,0
11921,0
11971,0
12021,0
12071,0
12121,0
12171,0
12221,0
12271,0
12321,0
12371,0
12421,0
12471,0
12521,0
12571,0
12621,0
12671,0
12721,0
12771,0
12821,0
12871,0
12921,0
12971,0
13021,0
13071,0
13121,0
13171,0
13221,0
13271,0
13321,0
13371,0
13421,0
13471,0
13521,0
13571,0
13621,0
13671,0
13721,0
13771,0
13821,0
13871,0
13921,0
13971,0
14021,0
14071,0
14121,0
14171,0
14221,0
14271,0
14321,0
14371,0
14421,0
14471,0
14521,0
14571,0
14621,0
14671,0
14721,0
14771,0
14821,0
14871,0
14921,0
14971,0
15021,0
15071,0
15121,0
15171,0
15221,0
15271,0
15321,0
15371,0
15421,0
15471,0
15521,0
15571,0
15621,0
15671,0
15721,0
15771,0
15821,0
15871,0
15921,1
15971,1
16021,0
16071,0
16121,0
16171,1
16221,1
16271,0
16321,0
16371,1
16421,1
16471,1
16521,1
16571,1
16621,1
16671,2
16721,2
16771,2
16821,2
16871,1
16921,1
16971,0
17021,0
17071,0
17121,1
17171,1
17221,1
17271,1
17321,2
17371,2
17421,2
17471,1
17521,1
17571,0
17621,0
17671,0
17721,2
17771,2
17821,2
17871,2
17921,2
17971,2
18021,2
18071,2
18121,2
18171,2
18221,2
18271,2
18321,2
18371,2
18421,2
18471,2
18521,2
18571,2
18621,2
18671,2
18721,2
18771,2
18821,2
18871,2
18921,2
18971,2
19021,2
19071,2
19121,2
19171,2
19221,2
19271,2
19321,2
19371,2
19421,2
19471,2
19521,2
19571,2
19621,3
19671,3
19721,3
19771,3
19821,3
19871,3
19921,3
19971,3
20021,3
20071,3
20121,3
20171,3
20221,3
20271,3
20321,3
20371,3
20421,3
20471,3
20521,3
20571,3
20621,3
20671,3
20721,4
20771,4
20821,3
20871,3
20921,4
20971,4
21021,4
21071,4
21121,4
21171,4
21221,4
21271,4
21321,4
21371,4
21421,4
21471,4
21521,4
21571,4
21621,4
21671,4
21721,4
21771,4
21821,4
21871,4
21921,4
21971,4
22021,4
22071,4
22121,4
22171,4
22221,4
22271,4
22321,4
22371,4
22421,4
22471,4
22521,4
22571,4
22621,4
22671,4
22721,4
22771,5
22821,5
22871,5
22921,4
22971,4
23021,5
23071,5
23121,5
23171,5
23221,5
23271,5
23321,5
23371,5
23421,5
23471,5
23521,5
23571,5
23621,5
23671,5
23721,5
23771,5
23821,5
23871,5
23921,5
23971,5
24021,5
24071,5
24121,5
24171,5
24221,5
24271,5
24321,5
24371,5
24421,5
24471,5
24521,5
24571,5
24621,5
24671,5
24721,5
24771,5
24821,5
24871,5
24921,5
24971,5
25021,6
25071,6
25121,6
25171,6
25221,6
25271,6
25321,6
25371,6
25421,6
25471,6
25521,6
25571,6
25621,6
25671,6
25721,6
25771,6
25821,6
25871,6
25921,6
25971,6
26021,6
26071,6
26121,6
26171,6
26221,6
26271,6
