time_ms,level
8611,0
8661,0
8711,0
8761,0
8811,0
8861,0
8911,0
8961,0
9011,0
9061,0
9111,0
9161,0
9211,0
9261,0
9311,0
9361,0
9411,0
9461,0
9511,0
9561,0
9611,0
9661,0
9711,0
9761,0
9811,0
9861,0
9911,0
9961,0
10011,0
10061,0
10111,0
10161,0
10211,0
10261,0
10311,0
10361,0
10411,0
10461,0
10511,0
10561,0
10611,0
10661,0
10711,0
10761,0
10811,0
10861,0
10911,0
10961,0
11011,0
11061,0
11111,0
11161,0
11211,0
11261,0
11311,0
11361,0
11411,0
11461,0
11511,0
11561,0
11611,0
11661,0
11711,0
11761,0
11811,0
11861,0
11911,0
11961,0
12011,0
12061,0
12111,0
12161,0
12211,0
12261,0
12311,0
12361,0
12411,0
12461,0
12511,0
12561,0
12611,0
12661,0
12711,0
12761,0
12811,0
12861,0
12911,0
12961,0
13011,0
13061,0
13111,0
13161,0
13211,0
13261,0
13311,0
13361,0
13411,0
13461,0
13511,0
13561,0
13611,0
13661,0
13711,0
13761,0
13811,0
13861,0
13911,0
13961,0
14011,0
14061,0
14111,0
14161,0
14211,0
14261,0
14311,0
14361,0
14411,0
14461,0
14511,0
14561,0
14611,0
14661,0
14711,0
14761,0
14811,0
14861,0
14911,0
14961,0
15011,0
15061,0
15111,0
15161,0
15211,0
15261,0
15311,0
15361,0
15411,0
15461,0
15511,0
15561,0
15611,0
15661,0
15711,0
15761,0
15811,0
15861,0
15911,1
15961,1
16011,0
16061,0
16111,0
16161,1
16211,1
16261,0
16311,0
16361,1
16411,1
16461,1
16511,1
16561,1
16611,1
16661,1
16711,1
16761,1
16811,1
16861,1
16911,1
16961,0
17011,0
17061,0
17111,1
17161,1
17211,1
17261,1
17311,1
17361,1
17411,1
17461,2
17511,2
17561,0
17611,0
17661,0
17711,2
17761,2
17811,2
17861,1
17911,1
17961,1
18011,2
18061,2
18111,2
18161,2
18211,2
18261,2
18311,1
18361,1
18411,2
18461,2
18511,2
18561,2
18611,2
18661,2
18711,2
18761,2
18811,2
18861,2
18911,1
18961,1
19011,3
19061,3
19111,3
19161,3
19211,3
19261,2
19311,2
19361,3
19411,3
19461,3
19511,3
19561,3
19611,3
19661,3
19711,3
19761,3
19811,3
19861,3
19911,3
19961,3
20011,3
20061,3
20111,3
20161,3
20211,3
20261,3
20311,3
20361,3
20411,3
20461,3
20511,3
20561,3
20611,3
20661,3
20711,3
20761,3
20811,3
20861,3
20911,3
20961,3
21011,3
21061,3
21111,3
21161,4
21211,4
21261,4
21311,4
21361,4
21411,4
21461,4
21511,4
21561,4
21611,4
21661,4
21711,4
21761,4
21811,4
21861,4
21911,4
21961,4
22011,4
22061,4
22111,4
22161,4
22211,4
22261,4
22311,4
22361,4
22411,4
22461,4
22511,4
22561,4
22611,4
22661,4
22711,4
22761,4
22811,4
22861,4
22911,4
22961,4
23011,4
23061,4
23111,4
23161,4
23211,4
23261,4
23311,4
23361,4
23411,4
23461,4
23511,4
23561,4
23611,4
23661,4
23711,4
23761,5
23811,5
23861,4
23911,4
23961,4
24011,5
24061,5
24111,5
24161,5
24211,5
24261,5
24311,5
24361,5
24411,5
24461,5
24511,5
24561,5
24611,5
24661,5
24711,5
24761,5
24811,3
24861,3
24911,3
24961,3
25011,3
25061,3
25111,3
25161,3
25211,3
25261,3
25311,3
25361,3
25411,3
25461,3
25511,3
25561,3
25611,3
25661,3
25711,3
25761,3
25811,3
25861,3
25911,3
25961,3
26011,3
26061,3
26111,3
26161,3
26211,3
26261,3
26311,3
26361,3
26411,3
26461,3
26511,3
26561,3
26611,3
26661,3
26711,3
26761,3
26811,4
26861,4
26911,4
26961,4
27011,4
27061,4
27111,4
27161,4
27211,4
27261,4
27311,4
27361,4
27411,4
27461,4
27511,4
27561,4
27611,4
27661,4
27711,4
27761,4
27811,4
27861,4
27911,4
27961,4
28011,4
28061,4
28111,4
28161,4
28211,4
28261,4
28311,4
28361,4
28411,4
28461,4
28511,4
28561,4
28611,4
28661,4
28711,4
28761,4
28811,4
28861,4
28911,3
28961,3
29011,3
29061,3
29111,3
29161,3
29211,3
29261,3
29311,3
29361,3
29411,3
