time_ms,level
8621,0
8671,0
8721,0
8771,0
8821,0
8871,0
8921,0
8971,0
9021,0
9071,0
9121,0
9171,0
9221,0
9271,0
9321,0
9371,0
9421,0
9471,0
9521,0
9571,0
9621,0
9671,0
9721,0
9771,0
9821,0
9871,0
9921,0
9971,0
10021,0
10071,0
10121,0
10171,0
10221,0
10271,0
10321,0
10371,0
10421,0
10471,0
10521,0
10571,0
10621,0
10671,0
10721,0
10771,0
10821,0
10871,0
10921,0
10971,0
11021,0
11071,0
11121,0
11171,0
11221,0
11271,0
11321,0
11371,0
11421,0
11471,0
11521,0
11571,0
11621,0
11671,0
11721,0
11771,0
11821,0
11871,0
11921,0
11971,0
12021,0
12071,0
12121,0
12171,0
12221,0
12271,0
12321,0
12371,0
12421,0
12471,0
12521,0
12571,0
12621,0
12671,0
12721,0
12771,0
12821,0
12871,0
12921,0
12971,0
13021,0
13071,0
13121,0
13171,0
13221,0
13271,0
13321,0
13371,0
13421,0
13471,0
13521,0
13571,0
13621,0
13671,0
13721,0
13771,0
13821,0
13871,0
13921,0
13971,0
14021,0
14071,0
14121,0
14171,0
14221,0
14271,0
14321,0
14371,0
14421,0
14471,0
14521,0
14571,0
14621,0
14671,0
14721,0
14771,0
14821,0
14871,0
14921,0
14971,0
15021,0
15071,0
15121,0
15171,0
15221,0
15271,0
15321,0
15371,0
15421,0
15471,0
15521,0
15571,0
15621,0
15671,0
15721,0
15771,0
15821,0
15871,0
15921,1
15971,1
16021,0
16071,0
16121,0
16171,1
16221,1
16271,0
16321,0
16371,1
16421,1
16471,1
16521,1
16571,1
16621,1
16671,1
16721,1
16771,1
16821,1
16871,1
16921,1
16971,0
17021,0
17071,0
17121,1
17171,1
17221,1
17271,1
17321,1
17371,1
17421,1
17471,0
17521,0
17571,0
17621,0
17671,0
17721,1
17771,1
17821,1
17871,1
17921,1
17971,1
18021,1
18071,1
18121,1
18171,1
18221,1
18271,1
18321,1
18371,1
18421,1
18471,1
18521,2
18571,2
18621,2
18671,1
18721,1
18771,1
18821,1
18871,1
18921,1
18971,1
19021,1
19071,1
19121,1
19171,1
19221,1
19271,2
19321,2
19371,2
19421,2
19471,2
19521,1
19571,1
19621,2
19671,2
19721,2
19771,2
19821,2
19871,2
19921,2
19971,2
20021,2
20071,2
20121,2
20171,2
20221,2
20271,2
20321,2
20371,2
20421,2
20471,2
20521,3
20571,3
20621,3
20671,3
20721,2
20771,2
20821,2
20871,2
20921,2
20971,2
21021,2
21071,3
21121,3
21171,3
21221,3
21271,3
21321,2
21371,2
21421,2
21471,2
21521,2
21571,2
21621,2
21671,3
21721,3
21771,3
21821,4
21871,4
21921,4
21971,2
22021,2
22071,2
22121,2
22171,3
22221,3
22271,3
22321,4
22371,4
22421,4
22471,4
22521,4
22571,4
22621,4
22671,4
22721,4
22771,4
22821,4
22871,4
22921,4
22971,4
23021,4
23071,4
23121,4
23171,4
23221,4
23271,4
23321,5
23371,5
23421,5
23471,4
23521,4
23571,4
23621,4
23671,4
23721,4
23771,4
23821,4
23871,4
23921,4
23971,4
24021,3
24071,3
24121,4
24171,4
24221,5
24271,5
24321,5
24371,5
24421,5
24471,3
24521,3
24571,3
24621,3
24671,3
24721,3
24771,3
24821,3
24871,3
24921,3
24971,3
25021,3
25071,3
25121,3
25171,3
25221,3
25271,3
25321,3
25371,3
25421,3
25471,3
25521,3
25571,3
25621,3
25671,3
25721,3
25771,3
25821,3
25871,3
25921,3
25971,3
26021,3
26071,3
26121,3
26171,3
26221,3
26271,3
